Id,Name,Desc
1,KFC,"Là thương hiệu đồ ăn nhanh nổi tiếng nhất hiện nay, khi nhắc đến những thức ăn nhanh thì chắc có lẽ mọi người sẽ nghĩ ngay đến KFC đầu tiên. KFC dần trở nên rất quen thuộc với người dân Việt và rất được ưa chuộng. Món ăn hút khách nhất ở KFC chắc chắn là gà rán, món gà rán ở KFC nổi tiếng thơm ngon, được chế biến với nhiều hương vị khác nhau mang đến cảm giác ngon miệng cho người ăn. Ngoài gà rán thì tại KFC còn có các món như salad, hamburger hay cơm gà,..."
2,Lotteria,"Lotteria là chuỗi cửa hàng thức ăn nhanh bắt nguồn tại Đông Á với cửa hàng đầu tiên ở Tokyo, Nhật Bản vào tháng 9 năm 1972. Lấy tên gọi bắt nguồn từ tên của công ty mẹ - Tập đoàn Lotte, thương hiệu hiện có chi nhánh ở Nhật Bản, Hàn Quốc, Indonesia, Việt Nam và Myanmar"
3,Domino's Pizaa,"Domino’s Pizza lần đầu xuất hiện trên thị trường vào năm 1960 khi 2 anh em nhà Monaghan là Tom và Jame Monaghan mua lại một cửa hàng pizza nhỏ có tên gọi Dominick’s Pizza ở Michigan với giá 500 đôla Mỹ. Sau 8 tháng, Jame từ bỏ việc kinh doanh và bán lại cổ phần của mình cho anh trai Tom với giá tương đương một chiếc xe Volkswagen loại cũ. Điều này khiến Tom nghĩ đến việc đem lại sức sống mới cho thương hiệu pizza của mình và quyết định đổi tên thành Domino’s Pizza."
4,Pew Pew,"Chắc hẳn các bạn đều biết bánh mì kẹp là món ăn dân giã từ xa xưa của người Việt Nam, được ví như loại sanwich ngon nhất thế giới, chính vì thế, kinh doanh bánh mì quả là một sáng kiến không tồi. Vậy nếu bạn là người hâm mộ của pewpew hay có hứng thú với ngành nghề kinh doanh này, thì cùng tìm hiểu những bước đầu tiên để bắt tay vào chiến lược này nhé
Trước hết, để có thể kinh doanh bánh mì chú pew thì bạn phải sở hữu một chiếc xe bánh mì. Hiện nay trên thị trường có rất nhiều nơi bán xe bánh mì nhưng chỉ một vài nơi có thể đáp ứng được nhu cầu rẻ - chất lượng"
5,Hoàng Yến Vietnamese Cuisine,"Thương hiệu Hoàng Yến từ lâu đã trở thành điểm đến quen thuộc của những người yêu ẩm thực truyền thống Việt Nam. Nét đặc sắc khó quên của Hoàng Yến được tạo nên bởi cái hồn trong mỗi món ăn, đúc kết từ niềm đam mê khám phá mỹ vị ẩm thực ba miền của người sáng lập và lưu giữ nét văn hoá trong mỗi tác phẩm. Hoàng Yến luôn chinh phục khách hàng dù là khó tính nhất bằng những món ăn rất riêng, từ dân dã như cánh gà chiên nước mắm, thịt kho nước dừa, canh cua rau đay, chả cá cơm cháy,… đến các món sang trọng và tinh tế như tôm càng kho tàu, cơm hấp lá sen, hải sâm cơm cháy, miến cua tay cầm, chả cá Lã Vọng, chả mực Hạ Long,…

Thực khách có thể tự mình khám phá nét duyên của ẩm thực Việt Nam qua những món ăn truyền thống cũng như những món được biến tấu sáng tạo từ những nguyên liệu vốn đơn giản và thuần Việt."
6,Sumo BBQ,"Gắn liền với tên gọi của nghệ thuật nướng nổi tiếng Nhật Bản, Sumo Yakiniku là nhà hàng thịt nướng chú trọng đến nguyên liệu thượng hạng hay quá trình chuẩn bị tinh tế công phu từ bảo quản, chế biến thịt, sốt ướp, sốt chấm và kỹ thuật nướng."
7,Ba con cừu,"Là một thương hiệu của Golden Gate JSC, công ty sáng lập và sở hữu các chuỗi nhà hàng Ashima, Kichi Kichi, SumoBBQ, Ba Con Cừu (the Mongolian Hotpot) lần đầu tiên ra mắt tại Việt Nam từ tháng 8/2012 là chuỗi nhà hàng tiên phong về lẩu cừu non Mông Cổ."
8,Osaka Ohsho,Quán Mì Gyoza trứ danh Nhật Bản thuộc tập đoàn Golden Gate
9,Kichi Kichi,Hệ thống nhà hàng Lẩu băng chuyền hàng đầu Việt Nam với gần 100 nhà hàng trên toàn quốc.
10,Crystal Jade Kitchen,"Lần đầu tiên xuất hiện tại Việt Nam, Crystal Jade – chuỗi nhà hàng danh tiếng Châu Á với hơn 120 nhà hàng tại 21 thành phố mang đến sự giao thoa giữa nền ẩm thực Quảng Đông truyền thống và xu hướng ẩm thực hiện đại. Với hơn 100 món ăn Quảng Đông danh tiếng ở mức giá chỉ từ 50,000đ; từng câu chuyện trong bữa ăn của bạn càng thêm thú vị bởi không gian hiện đại cùng phong cách ẩm thực chuẩn quốc tế khi đến với Crystal Jade Kitchen."
11,Daruma,"Daruma – Món Nhật mỗi ngày với menu các Set cơm giá chỉ từ 59.000đ, các món Sushi giá chỉ từ 69.000đ, các set món chuẩn Nhật chỉ từ 109.000đ, và Buffet lẩu Nhật thỏa thích không giới hạn hơn 30 vị nhúng lẩu chỉ từ 219.000đ/Người."
12,Manwah,"Sau hàng trăm năm tồn tại trong cuộc sống người Đài, lẩu Đài Loan không chỉ đơn thuần là sự kết hợp của các nguyên liệu quen thuộc, mà liên tục được cải tiến và hoàn thiện, từ thế hệ này sang thế hệ khác. Thực khách đến Manwah sẽ được tự mình khám phá hành trình ẩm thực đặc sắc với nước lẩu ngọt vị tự nhiên, kết hợp hầm cùng các loại gia vị dậy mùi thơm đặc trưng của Đài Loan. Nét đặc sắc không chỉ đến từ nước lẩu, mà còn đến từ cả những món nhúng kiểu Đài – bạn sẽ tìm thấy nhiều hơn là chỉ thịt bò và các loại rau thơm. Chính sự kết hợp các nguyên liệu, món ăn hài hoà sẽ tạo nên hương vị lẩu Đài Loan tỉ mỉ và tinh tế."
13,Vuvuzela,"Vuvuzela là câu lạc bộ bia tươi theo phong cách bar, điểm đến đầy mê hoặc dành cho những người yêu thích bia tươi và đam mê khám phá những điều mới lạ. Tại Vuvuzela thực khách có thể tìm thấy gần như bất kì loại bia tươi nào từ Tiger, Bitburger là những loại quen thuộc cho đến Zamky – loại bia tươi Tiệp lần đầu tiên được biết đến hay rất nhiều những loại bia khác nhập khẩu từ Bỉ, Czech, Hà Lan.. Cùng với bia, món ăn đặc trưng của các quốc gia và những cô gái phục vụ xinh đẹp là những điểm nhấn khiến Vuvuzela trở nên khác biệt."
14,Isushi,"iSushi mang tới khách hàng những trải nghiệm và cảm xúc Nhật thực thụ với Buffet Nhật Bản 100 món ăn tinh hoa với các món Sashimi tươi ngon, hơn 57 loại Sushi cùng nhiều món ăn hấp dẫn khác Teppanyaki, Yakitori… do Tổng bếp trưởng Noda Toshiro thực hiện."
15,Yutang,"Yu Tang mang những hương vị truyền thống của trà sữa Đài Loan trở lại, cùng những nguyên liệu cao cấp nhất và bàn tay pha chế tinh tế nhất."
16,The coffee inn,"Được sản sinh từ tâm huyết của những con người sống vì cà phê, The Coffee Inn là đại diện tiêu biểu của văn hóa cà phê mới tại Việt Nam. Mỗi sản phẩm tại The Coffee Inn là sự kết hợp hoàn hảo giữa nguyên liệu cao cấp từ những vùng trồng cà phê nổi tiếng tại Việt Nam (Sơn La, Khe Sanh, Đà Lạt) cùng kĩ thuật rang xay từ Nhật Bản đảm bảo cho những tách café chất lượng và thuần khiết nhất. Với không gian được thiết kế theo phong cách tối giản, cùng những sắp đặt khéo léo, mỗi khi tới với The Coffee Inn bạn sẽ có một trải nghiệm đầy thú vị dù là đi với gia đình, bạn bè hay đi một mình."
17,Citi Beer Station,"Với không gian bia nam tính, độc đáo giúp “đấng mày râu” thỏa mãn cơn khát, City Beer Station là điểm đến để khách hàng thưởng thức bia mát lạnh cùng với món nhậu đặc sắc"
18,Kpub,"K-Pub không chỉ đặc biệt ở tên gọi mà còn bởi phong cách nướng đường phố Hàn Quốc và những món ngon độc đáo có 1-0-2. Cùng hòa mình vào không khí náo nhiệt tại K-Pub để thưởng thức thịt nướng đường phố Hàn đích thực chỉ từ 149.000VNĐ/người và thỏa thích chọn lựa tại Buffet line 30+ món: ba chỉ bò Mỹ, panchan, món Hàn nóng hổi, đồ tráng miệng, nước uống. Đặc biệt, viền trứng phô-mai refill không giới hạn được tặng kèm với mọi loại buffet sẽ mang đến những trải nghiệm hương vị cực kì mới lạ cho các tín đồ thịt nướng. Cùng tới khám phá K-Pub ngay thôi nào!!"
19,Cowboy Jacks,"Cowboy Jack’s – Authentic American Dining là chuỗi nhà hàng đậm chất Mỹ với phong cách hiện đại và gần gũi. Đến với Cowboy Jack’s, bạn không thể không thử qua các món ăn đặc biệt chỉ có thể tìm thấy tại đây như Chicago Pizza Nhân Nhồi với 8 hương vị đặc biêt, Sườn nướng Jumbo hay Bít tết bò Úc. Bạn là người thích khám phá sự thú vị của ẩm thực và văn hóa Mỹ? Cowboy Jack’s là sự lựa chọn tốt nhất dành cho bạn!"
20,37 street,Phố ngon 37 là nơi tụ hội của hơn 300 món ngon từ khắp miền tổ quốc. Những đầu bếp của phố ngon luôn hy vọng có thể mang đến cho khách thưởng thức hương vị nguyên bản nhất của ẩm thực dân dã Việt Nam
21,Chili's,"Nhà hàng cung cấp các món ăn giống như các cửa hàng Chili khác trên toàn thế giới, theo khái niệm nhà hàng-quán bar ban đầu lấy cảm hứng từ các món ăn Mexico & Texas."
22,Hutong,"Không giống bất cứ nơi đâu, nước lẩu Hồng Kông đậm đà tỏa hương thảo quả, ớt khô, quế, hồi… Thiên đường với hơn 99 vị nhúng lẩu từ thịt bào, hải sản tới rau củ, đặc biệt là các loại viên thả lẩu tươi như cá, bò, tôm, há cảo,… chỉ được làm khi khách bắt đầu gọi món. Chẳng cần phải đi xa tới gần 1000km, Thiên đường lẩu Hutong – Hot Pot Paradise với 99 vị nhúng lẩu sẽ cùng bạn trải nghiệm trong những hương vị nồng nhiệt và hấp dẫn nhất thế giới này!"
23,Ashima,"Ra mắt từ năm 2005, trải qua hơn 10 năm mang hương vị nấm đến với thực khách, bộ sưu tập nấm của Ashima hiện đã lên tới hơn 23 loại nấm thiên nhiên và nấm quý có nguồn gốc từ Nhật Bản, Hàn quốc và Shangrila; hứa hẹn sẽ đưa thực khách đắm chìm trong không gian mang hơi hướng Á Đông hiện đại và trải nghiệm phong cách phục vụ thân thiện, đặc sắc bởi điệu múa tay khi phục vụ lẩu nấm của các cô gái tại Ashima."
24,Gogi House,"GoGi House – Quán thịt nướng Hàn Quốc Ngon Số 1 sẽ đưa bạn ghé đến những quán thịt nướng tại Seoul đã tạo nên danh tiếng cho nền ẩm thực xứ kim chi. Nếu đã một lần thưởng thức thịt nướng tại GoGi House, bạn sẽ không thể quên được hương vị “ngất ngây” của những món sườn non bò Mỹ, nạc vai bò Mỹ, dẻ sườn tươi…. khi hòa quyện vào với các loại gia vị đặc trưng xứ Hàn đã trở nên hấp dẫn đến thế nào. Ngoài ra, những món ăn kèm không thể bỏ qua như cơm trộn, mỳ lạnh, canh Kimchi và các loại lẩu cũng sẽ làm bạn ấn tượng thêm về nền ẩm thực Hàn Quốc."
25,Shogun,Shogun – Quán Nướng Đường Phố Nhật Bản với menu buffet hơn 68 món Nướng & Nhậu đường phố Nhật Bản giá chỉ từ 29.000đ và các suất buffet thỏa thích chỉ từ 329.000đ/1người
26,Texas Chicken,GÀ RÁN TỪ MỸ. 100% GÀ TƯƠI
27,CARL'S Jr,Chuỗi cửa hàng thức ăn nhanh nhượng quyền từ Mỹ
28,MK Suki,"Chuỗi nhà hàng MK là thương hiệu nổi tiếng đến từ Thái Lan, mang lại cho thực khách trải nghiệm về món Lẩu tươi thơm ngon, độc đáo, tốt cho sức khỏe."
29,Popeyes ,"Hơn 40 năm trước tại New Orleans thuộc tiểu bang Louisiana, một huyền thoại ẩm thực đã ra đời. Khởi đầu từ một nhà hàng nhỏ và một ý tưởng lớn, ""cơn bão"" Louisiana đã ""càn quét"" mọi quốc gia và lan rộng khắp thế giới."
30,Yen Sushi Sake,"Khởi đầu từ năm 2016, YEN Sushi & Sake Pub được thực khách yêu thích bởi không gian bài trí độc đáo và đặc sắc. Đội ngũ đầu bếp tại YEN được đào tào theo tiêu chuẩn Nhật Bản, luôn sẵn sàng phục vụ các món Sushi và Sashimi đa dạng, tươi ngon với nguồn nguyên liệu được chắt lọc kĩ lưỡng, hầu hết nguồn hàng được nhập khẩu trực tiếp từ đất nước mặt trời mọc. Bên cạnh đó, không thể không nhắc đến các món nướng Yaki đặc trưng của ẩm thực Nhật Bản được chế biến tinh tế. Còn gì tuyệt hơn khi thưởng thức món ngon trong một không gian đậm chất Nhật Bản giữa lòng TP.Hồ Chí Minh và thưởng thức các loại rượu trứ danh đến từ nhà rượu Tsukinoi Nhật Bản với hơn 150 tuổi."
31,My life coffee,"Hệ thống cửa hàng café với đặc trưng không gian được thiết kế đa phong cách mang hơi thở Châu Âu, hòa quyện cùng dòng sản phẩm đa dạng và phù hợp với thị trường Việt Nam."
32,Yen Premium,"Thương hiệu mang đến một không gian thưởng thức ẩm thực Nhật Bản đẳng cấp. Với tinh thần “Omotenashi” và cung cách phục vụ chu đáo, lối kiến trúc Ryotei khiến bất cứ ai cũng lầm tưởng mình đang bước chân vào một nhà hàng ngay tại Nhật Bản"
33,Shamoji Robata Yaki,Chuỗi nhà hàng mang lại một phong cách hoàn toàn khác biệt trong cách thưởng thức ẩm thực Nhật Bản và định nghĩa về phong cách “Nhậu Nhật”.
34,The Sushi Bar,"he Sushi Bar was one of the first Japanese restaurants to open in Vietnam and is known for top quality and quick, reliable sushi delivery in Saigon."
35,Toky Deli,"Chuỗi nhà hàng TOKYO Deli  ra đời với sự tham vọng làm thay đổi quan niệm đó. TOKYO Deli  mong muốn giới thiệu ẩm thực Nhật Bản đích thực đến với nhiều đối tượng khách hàng, đặc biệt là khách hàng Việt Nam, đồng thời biến nhu cầu thưởng thức món ăn Nhật thành một nhu cầu thường xuyên và phổ biến."
36,Uraetei BBQ,Một xu hướng ẩm thực Nhật Bản khác hoàn toàn với những gì mọi người thường nghĩ về món ăn Nhật.
37,Phuc Long,"Trải qua hơn 50 năm chắt chiu tinh hoa từ những búp trà xanh và hạt cà phê thượng hạng cùng mong muốn mang lại cho khách hàng những trải nghiệm giá trị nhất khi thưởng thức, Phúc Long liên tục là thương hiệu tiên phong với nhiều ý tưởng sáng tạo đi đầu trong ngành trà và cà phê."
38,The coffee house,"Tại The Coffee House, chúng tôi luôn trân trọng những câu chuyện và đề cao giá trị Kết nối con người. Chúng tôi mong muốn The Coffee House sẽ trở thành “Nhà Cà Phê"", nơi mọi người xích lại gần nhau và tìm thấy niềm vui, sự sẻ chia thân tình bên những tách cà phê đượm hương, chất lượng."
39,Starbucks,Mỗi tuần Starbucks trên khắp thế giới phục vụ hàng triệu thức uống đến tay khách hàng. Và Starbucks cam kết rằng sẽ phục vụ từng khách hàng duy nhất tại một thời điểm.
40,Dunkin Donut,Cộng đồng Dunkin Donuts Việt Nam.
41,Kissho,"KISSHO – pronounced as “kee-sho”, which means “good luck”, auspicious. Kissho is the first contemporary Japanese restaurant strategically located at 14 Nguyen Hue Boulevard District 1 HCMC."
42,Ngan Dinh,"Tọa lạc tại tầng 5 của khách sạn Windsor Plaza, nhà hàng Ngân Đình phục vụ các món ăn mang đậm hương vị Quảng Đông đích thực và đặc sắc, được ghi nhận bằng nhiều giải thưởng quốc tế. Nhà hàng mang đến nhiều lựa chọn không gian ẩm thực đẳng cấp cho nhóm nhỏ hay tiệc lớn với 9 phòng VIP công suất phục vụ 10 người mỗi phòng."
43,Le Café,"Mang đến không gian ẩm thực thanh lịch và sang trọng, Nhà hàng và Bar Le Café tại Sherwood Suites Sài Gòn là điểm hẹn mới lý tưởng với thực đơn chọn lọc nhiều món đặc sắc của Địa Trung Hải và Châu Á, cũng như các món ngon truyền thống Việt Nam do các đầu bếp tài hoa chuẩn bị ngay gian bếp mở. Tọa lạc tại tầng trệt và mở cửa từ 06:30 sáng đến 23:00 tối, Le Café cũng phục vụ phong phú các loại cocktail, cà phê, trà và các thức uống khác. Từ 11:30 trưa đến 15:00 chiều hàng ngày, thực khách có thể thưởng thức các thực đơn trưa hấp dẫn với ba món chọn sẵn gồm súp hoặc salad, món chính và tráng miệng."
44,Noodle noodle,"The noodle is a staple of cuisines all across Asia, and new restaurant Noodle Noodle brings the best of all these amazing noodle dishes from around the region together in one place."
45,The Long,"Drawing inspiration from Italian sidewalk cafes, take a break and enjoy signature refreshments at one of the most sought-after destinations in the city."
46,Long Triều,"Từ đội ngũ bếp tài hoa, đến những nguyên liệu thượng đẳng, nhà hàng Long Triều mang đến tinh hoa ẩm thực Quảng Đông trong một không gian đẳng cấp bậc nhất. Nội thất sang trọng, kết hợp mạnh mẽ và tinh tế giữa đá ngọc bích, thần sa đỏ và vàng lá trong trang trí, nhà hàng Long Triều mang tới trải nghiệm ẩm thực đỉnh cao."
47,Vietnam House,"Với vô số thành tựu nổi bật trong lĩnh vực ẩm thực, ngôi sao đầu bếp người Úc gốc Việt Luke Nguyễn đã tạo dựng cho bản thân một thương hiệu vô cùng ấn tượng trên con đường sự nghiệp của mình. Ở tuổi 23, anh đã thực hiện được mơ ước khi mở nhà hàng đầu tiên có tên Red Lantern, được đánh giá rất cao vào năm 2002. Luke Nguyễn cũng là người đứng sau và chịu trách nhiệm cố vấn cho Fat Noodle, chuỗi nhà hàng chuyên những món mì, phở Châu Á rất được yêu thích tại khu sòng bài The Star tại Pyrmont, Sydney, và Brisbane, nước Úc."
48,Amigo,"Step off the streets into a Latin American themed steakhouse. Conveniently located on Nguyen Hue Street, Amigo Grill Restaurant features American, Australian, and Wagyu beef, along with freshly imported Norwegian salmon. A fully-stocked bar and international wine list complements any main course. Event hosting is available in the private dining room on the second floor."
